minutes,n,mean_points,median_points,q10,q90,net_total,mean_net
26,3571,1.0298935872304678,0.0,-28.0,31.0,19990.0,5.597871744609353
27,3571,1.013861663399608,0.25,-29.5,32.25,18845.0,5.277233267992159
28,3571,1.024922990758891,0.25,-29.25,33.25,19635.0,5.498459815177822
29,3571,1.1883926071128534,0.25,-29.5,33.25,31310.0,8.767852142257071
30,3571,1.2012041444973396,0.25,-29.5,33.75,32225.0,9.024082889946794
31,3571,1.3134276113133576,0.5,-30.25,34.25,40240.0,11.268552226267152
32,3571,1.3405908709045085,0.5,-30.5,34.5,42180.0,11.81181741809017
33,3571,1.432371884626155,0.5,-31.25,34.75,48735.0,13.647437692523102
34,3571,1.6283253990478856,0.75,-31.5,36.25,62730.0,17.566507980957716
35,3571,1.6928731447773733,0.75,-31.5,35.75,67340.0,18.857462895547467
36,3571,1.7339680761691403,0.75,-31.5,36.25,70275.0,19.679361523382806
37,3571,1.6524782973956875,0.75,-32.0,35.75,64455.0,18.04956594791375
38,3571,1.7678521422570708,0.75,-32.25,37.5,72695.0,20.357042845141418
39,3571,1.8665639876785214,0.75,-32.5,37.5,79745.0,22.331279753570428
40,3571,1.9980397647717727,0.75,-32.0,37.5,89135.0,24.960795295435453
41,3571,2.164799775973117,0.75,-32.25,38.75,101045.0,28.295995519462334
42,3571,2.294525343041165,0.75,-32.75,39.0,110310.0,30.890506860823297
43,3571,2.2822038644637357,0.75,-32.75,40.5,109430.0,30.644077289274712
44,3571,2.245379445533464,0.75,-33.75,39.75,106800.0,29.90758891066928
45,3571,2.3144777373284793,0.75,-33.25,40.75,111735.0,31.28955474656959
46,3571,2.3144777373284793,1.0,-33.75,40.75,111735.0,31.28955474656959
47,3571,2.1199943993279193,0.75,-34.75,40.75,97845.0,27.399887986558387
48,3571,2.1043125175021005,0.75,-35.0,39.25,96725.0,27.086250350042004
49,3571,2.1073928871464576,0.75,-35.5,41.25,96945.0,27.14785774292915
50,3571,2.1066928031363763,0.75,-35.0,42.0,96895.0,27.133856062727528
51,3571,2.191963035564268,0.75,-34.75,41.75,102985.0,28.839260711285355
52,3571,2.1837720526463174,1.0,-36.0,42.75,102400.0,28.675441052926352
53,3571,2.2725427051246148,1.0,-36.75,42.25,108740.0,30.4508541024923
54,3571,2.267922150658079,0.5,-37.5,43.0,108410.0,30.35844301316158
55,3571,2.4643657238868664,0.75,-38.25,44.25,122440.0,34.287314477737326
56,3571,2.433001960235228,0.75,-38.25,43.75,120200.0,33.66003920470457
57,3571,2.376085130215626,0.75,-37.25,45.0,116135.0,32.521702604312516
58,3571,2.2822738728647436,0.75,-38.0,45.5,109435.0,30.645477457294877
59,3571,2.3389806776813216,1.0,-40.0,45.5,113485.0,31.779613553626437
60,3571,2.2687622514701764,1.0,-39.5,47.25,108470.0,30.37524502940353
61,3571,2.358863063567628,0.75,-38.75,47.0,114905.0,32.17726127135256
62,3571,2.4124194903388405,0.75,-39.25,47.0,118730.0,33.248389806776814
63,3571,2.4298515821898627,1.0,-39.25,47.5,119975.0,33.59703164379726
64,3571,2.670820498459815,1.0,-39.5,47.25,137185.0,38.4164099691963
65,3571,2.800336040324839,1.0,-39.25,48.0,146435.0,41.00672080649678
66,3571,2.636446373564828,1.0,-39.75,47.75,134730.0,37.72892747129656
67,3571,2.4377625315037803,0.75,-39.5,48.0,120540.0,33.75525063007561
68,3571,2.2959955194623354,1.0,-40.0,48.5,110415.0,30.91991038924671
69,3571,2.160879305516662,1.0,-40.5,47.0,100765.0,28.21758611033324
70,3571,2.1814617754130494,1.0,-41.0,47.75,102235.0,28.62923550826099
71,3571,1.9404928591430972,1.0,-41.5,48.75,85025.0,23.809857182861943
72,3571,1.986138336600392,0.75,-42.0,48.25,88285.0,24.72276673200784
73,3571,1.926561187342481,1.0,-43.0,48.25,84030.0,23.531223746849623
74,3571,2.0280733688042565,1.0,-43.0,49.25,91280.0,25.56146737608513
75,3571,2.086180341640997,0.75,-44.25,49.5,95430.0,26.72360683281994
76,3571,2.1582889946793613,0.75,-43.0,49.75,100580.0,28.16577989358723
77,3571,2.1785214225707086,0.75,-44.0,50.25,102025.0,28.57042845141417
78,3571,2.150868104172501,1.25,-44.5,49.75,100050.0,28.017362083450013
79,3571,2.1683001960235226,1.0,-43.75,48.75,101295.0,28.366003920470458
80,3571,2.1178241388966677,1.0,-44.5,48.75,97690.0,27.35648277793335
81,3571,2.0836600392047044,1.0,-46.0,49.75,95250.0,26.673200784094092
82,3571,2.185732287874545,0.75,-45.0,51.0,102540.0,28.7146457574909
83,3571,2.1819518342201065,0.75,-44.5,51.0,102270.0,28.63903668440213
84,3571,2.104872584710165,0.75,-45.5,50.0,96765.0,27.097451694203304
85,3571,2.2109353122374684,0.75,-45.25,50.5,104340.0,29.21870624474937
86,3571,2.2177261271352564,0.5,-44.75,51.75,104825.0,29.354522542705123
87,3571,2.1351862223466815,0.75,-44.5,51.75,98930.0,27.70372444693363
88,3571,2.056146737608513,0.5,-45.75,51.75,93285.0,26.12293475217026
89,3571,1.993629235508261,0.5,-45.5,51.25,88820.0,24.87258471016522
90,3571,1.9642957154858582,0.5,-45.5,52.0,86725.0,24.285914309717167
91,3571,2.121954634556147,0.5,-46.0,52.5,97985.0,27.439092691122934
92,3571,2.038644637356483,0.5,-46.0,52.5,92035.0,25.772892747129656
93,3571,1.8958975077009241,0.75,-46.5,52.25,81840.0,22.91795015401848
94,3571,1.77310277233268,0.5,-46.5,52.0,73070.0,20.462055446653597
95,3571,1.9162699523942872,0.75,-46.25,52.0,83295.0,23.325399047885746
96,3571,1.952604312517502,0.75,-45.75,52.5,85890.0,24.05208625035004
97,3571,1.918370204424531,0.75,-46.5,53.25,83445.0,23.36740408849062
98,3571,2.062377485298236,0.75,-46.75,53.5,93730.0,26.247549705964715
99,3571,2.0819098291795015,1.0,-45.75,53.25,95125.0,26.63819658359003
100,3571,2.2084850182021842,1.0,-47.0,54.25,104165.0,29.169700364043685
101,3571,2.292635116213946,1.0,-46.5,54.75,110175.0,30.852702324278912
102,3571,2.3197283674040885,1.0,-45.75,54.0,112110.0,31.394567348081768
103,3571,2.2931251750210024,1.0,-45.0,54.0,110210.0,30.86250350042005
104,3571,2.2665919910389247,1.0,-45.75,54.25,108315.0,30.331839820778494
105,3571,2.374614953794455,1.0,-45.5,53.0,116030.0,32.49229907588911
106,3571,2.3013161579389525,0.75,-46.0,53.75,110795.0,31.026323158779054
107,3571,2.3094371324558947,1.0,-46.0,54.25,111375.0,31.188742649117895
108,3571,2.3111173340800897,1.0,-46.25,55.0,111495.0,31.222346681601792
109,3571,2.274292915149818,1.0,-47.0,54.75,108865.0,30.48585830299636
110,3571,2.263301596191543,1.0,-46.75,54.5,108080.0,30.26603192383086
111,3571,2.17733127975357,1.0,-46.75,54.25,101940.0,28.546625595071408
112,3571,2.03465415849902,1.0,-47.75,55.25,91750.0,25.693083169980397
113,3571,2.1935732287874545,1.0,-48.5,55.0,103100.0,28.87146457574909
114,3571,2.178661439372725,1.0,-47.5,54.75,102035.0,28.573228787454493
115,3571,2.151428171380566,1.0,-48.0,55.25,100090.0,28.028563427611314
116,3571,2.1496079529543546,1.0,-48.75,54.75,99960.0,27.99215905908709
117,3571,2.2082049845981517,1.0,-48.25,56.25,104145.0,29.164099691963035
118,3571,2.1300056006720807,1.0,-48.5,54.5,98560.0,27.600112013441613
119,3571,2.04172500700084,1.0,-49.0,55.0,92255.0,25.834500140016804
120,3571,1.9885186222346682,1.0,-49.75,56.0,88455.0,24.770372444693365
