minutes,n,mean_points,median_points,q10,q90,net_total,mean_net
90,4395,1.6315130830489193,0.5,-40.75,48.5,77485.0,17.630261660978384
91,4395,1.655631399317406,0.25,-40.75,48.5,79605.0,18.112627986348123
92,4395,1.6693401592719,0.5,-41.5,47.75,80810.0,18.386803185437998
93,4395,1.628782707622298,0.25,-41.14999999999999,48.25,77245.0,17.57565415244596
94,4395,1.6474402730375426,0.25,-41.75,49.25,78885.0,17.948805460750854
95,4395,1.5549488054607508,0.25,-42.0,48.25,70755.0,16.098976109215016
96,4395,1.5239476678043231,0.25,-42.75,48.75,68030.0,15.478953356086462
97,4395,1.5927189988623436,0.25,-42.75,48.64999999999998,74075.0,16.85437997724687
98,4395,1.460637087599545,0.25,-42.89999999999999,49.5,62465.0,14.2127417519909
99,4395,1.5277019340159272,0.25,-42.75,49.5,68360.0,15.554038680318543
100,4395,1.71547212741752,0.25,-42.5,49.64999999999998,84865.0,19.309442548350397
101,4395,1.7835608646188852,0.25,-42.14999999999999,49.75,90850.0,20.6712172923777
102,4395,1.7628555176336747,0.5,-42.64999999999999,50.5,89030.0,20.257110352673493
103,4395,1.7638794084186575,0.5,-42.39999999999999,51.5,89120.0,20.27758816837315
104,4395,1.7594425483503981,0.5,-42.5,50.69999999999993,88730.0,20.188850967007962
105,4395,1.7399886234357225,0.5,-42.5,50.75,87020.0,19.799772468714448
106,4395,1.797952218430034,0.5,-42.25,50.64999999999998,92115.0,20.959044368600683
107,4395,1.8285551763367462,0.5,-42.89999999999999,50.14999999999998,94805.0,21.571103526734927
108,4395,1.7906712172923778,0.5,-43.54999999999998,51.14999999999998,91475.0,20.813424345847555
109,4395,1.691353811149033,0.5,-43.25,51.049999999999955,82745.0,18.82707622298066
110,4395,1.6461319681456201,0.5,-43.64999999999999,50.89999999999998,78770.0,17.9226393629124
111,4395,1.6397610921501706,0.5,-45.39999999999999,51.049999999999955,78210.0,17.795221843003414
112,4395,1.704948805460751,0.5,-44.5,50.75,83940.0,19.098976109215016
113,4395,1.7144482366325369,0.5,-44.25,50.299999999999955,84775.0,19.28896473265074
114,4395,1.7658703071672355,0.75,-45.75,50.25,89295.0,20.31740614334471
115,4395,1.8296359499431172,0.75,-45.25,51.39999999999998,94900.0,21.592718998862342
116,4395,1.9199089874857793,0.75,-45.39999999999999,51.39999999999998,102835.0,23.398179749715585
117,4395,1.9619453924914676,0.75,-44.75,51.75,106530.0,24.238907849829353
118,4395,1.9244027303754265,0.75,-44.25,52.25,103230.0,23.488054607508534
119,4395,1.852104664391354,0.75,-44.5,51.64999999999998,96875.0,22.042093287827075
120,4395,1.743344709897611,0.5,-45.0,53.14999999999998,87315.0,19.866894197952217
