date,s07,prior,together
2022-11-18,1455.0,1515.0,2970.0
2022-11-21,-1540.0,-1295.0,-2835.0
2022-11-22,-370.0,1270.0,900.0
2022-11-23,1775.0,-1485.0,290.0
2022-11-25,375.0,175.0,550.0
2022-11-28,-980.0,-200.0,-1180.0
2022-11-29,2240.0,2385.0,4625.0
2022-11-30,-535.0,120.0,-415.0
2022-12-01,-720.0,690.0,-30.0
2022-12-02,500.0,695.0,1195.0
2022-12-05,1050.0,-1570.0,-520.0
2022-12-06,2865.0,135.0,3000.0
2022-12-07,755.0,-155.0,600.0
2022-12-08,-1830.0,-620.0,-2450.0
2022-12-09,2090.0,1410.0,3500.0
2022-12-12,-370.0,-1815.0,-2185.0
2022-12-13,2290.0,3415.0,5705.0
2022-12-14,1615.0,1310.0,2925.0
2022-12-15,3595.0,-1455.0,2140.0
2022-12-16,-2125.0,-3395.0,-5520.0
2022-12-19,2160.0,1970.0,4130.0
2022-12-20,-70.0,350.0,280.0
2022-12-21,-3365.0,-2930.0,-6295.0
2022-12-22,3065.0,3075.0,6140.0
2022-12-23,-330.0,-1835.0,-2165.0
2022-12-27,885.0,-565.0,320.0
2022-12-28,-2465.0,-3285.0,-5750.0
2022-12-29,-3730.0,130.0,-3600.0
2022-12-30,320.0,-1105.0,-785.0
2023-01-03,4320.0,-4350.0,-30.0
2023-01-04,-1120.0,-655.0,-1775.0
2023-01-05,440.0,-1335.0,-895.0
2023-01-06,-2000.0,-2940.0,-4940.0
2023-01-09,2535.0,1450.0,3985.0
2023-01-10,-130.0,-295.0,-425.0
2023-01-11,-1465.0,1195.0,-270.0
2023-01-12,390.0,975.0,1365.0
2023-01-13,-835.0,310.0,-525.0
2023-01-17,-135.0,5.0,-130.0
2023-01-18,2785.0,-3505.0,-720.0
2023-01-19,-2080.0,-1830.0,-3910.0
2023-01-20,-2850.0,1355.0,-1495.0
2023-01-23,-4600.0,-1740.0,-6340.0
2023-01-24,725.0,-825.0,-100.0
2023-01-25,-1305.0,900.0,-405.0
2023-01-26,-2300.0,-1725.0,-4025.0
2023-01-27,1745.0,-1305.0,440.0
2023-01-30,-955.0,-590.0,-1545.0
2023-01-31,1840.0,1285.0,3125.0
2023-02-01,-40.0,265.0,225.0
2023-02-02,2290.0,2865.0,5155.0
2023-02-03,4655.0,2195.0,6850.0
2023-02-06,990.0,-1455.0,-465.0
2023-02-07,1390.0,1745.0,3135.0
2023-02-08,3515.0,1440.0,4955.0
2023-02-09,2420.0,1955.0,4375.0
2023-02-10,-930.0,-785.0,-1715.0
2023-02-13,-2620.0,-2240.0,-4860.0
2023-02-14,-535.0,-675.0,-1210.0
2023-02-15,440.0,1360.0,1800.0
2023-02-16,1765.0,1635.0,3400.0
2023-02-17,2245.0,485.0,2730.0
2023-02-21,-1905.0,845.0,-1060.0
2023-02-22,-815.0,-865.0,-1680.0
2023-02-23,3095.0,3320.0,6415.0
2023-02-24,-790.0,-120.0,-910.0
2023-02-27,935.0,1720.0,2655.0
2023-02-28,-730.0,-20.0,-750.0
2023-03-01,1745.0,-595.0,1150.0
2023-03-02,530.0,105.0,635.0
2023-03-03,-1825.0,-1240.0,-3065.0
2023-03-06,1535.0,-45.0,1490.0
2023-03-07,-2190.0,-150.0,-2340.0
2023-03-08,-355.0,-150.0,-505.0
2023-03-09,-800.0,640.0,-160.0
2023-03-10,-1110.0,-1075.0,-2185.0
2023-03-13,-5065.0,2155.0,-2910.0
2023-03-14,2515.0,1675.0,4190.0
2023-03-15,225.0,-2820.0,-2595.0
2023-03-16,-5315.0,-3975.0,-9290.0
2023-03-17,-2115.0,-2520.0,-4635.0
2023-03-20,-1425.0,-1650.0,-3075.0
2023-03-21,-590.0,-965.0,-1555.0
2023-03-22,1275.0,-180.0,1095.0
2023-03-23,2415.0,2545.0,4960.0
2023-03-24,1115.0,-1125.0,-10.0
2023-03-27,990.0,3010.0,4000.0
2023-03-28,595.0,555.0,1150.0
2023-03-29,40.0,75.0,115.0
2023-03-30,-65.0,0.0,-65.0
