instrument,minute,horizon,stop,trades,net_total,net_mean,net_median,win,candles_mean,mean_2006-2012,n_2006-2012,mean_2013-2019,n_2013-2019,mean_2020-2026,n_2020-2026,recent_total,recent_without_best_5pct,recent_max_dd,recent_years_positive,recent_years
ES,4,120,4.0,5029,-117520.0,-23.368462915092465,-130.0,0.23881487373235236,0.09792618889756018,-34.171537112799534,1711,-25.978571428571428,1750,-8.667091836734693,1568,-13590.0,-202887.5,40102.5,3,7
ES,4,120,6.0,5025,-96662.5,-19.236318407960198,-180.0,0.3253731343283582,0.20079407886942055,-31.366959064327485,1710,-19.95854774156661,1749,-5.183588761174968,1566,-8117.5,-205402.5,31650.0,4,7
ES,4,120,10.0,5020,-36762.5,-7.323207171314741,-92.5,0.4302788844621514,0.43098766198066074,-25.950497949619216,1707,-17.39279588336192,1749,24.267902813299234,1564,37955.0,-169130.0,23632.5,6,7
ES,5,30,0.0,5029,-90270.0,-17.949890634320937,-17.5,0.47206204016703124,0.282742740069545,-22.3801870251315,1711,-17.8,1750,-13.282844387755102,1568,-20827.5,-141375.0,46857.5,3,7
ES,5,30,2.0,5034,-137557.5,-27.325685339690107,-80.0,0.20500595947556616,0.02781504512372107,-32.778588098016336,1714,-22.668475157053113,1751,-26.566284257488846,1569,-41682.5,-151205.0,53070.0,1,7
ES,5,30,4.0,5032,-136985.0,-27.22277424483307,-130.0,0.34002384737678853,0.06896314485621453,-34.40017513134851,1713,-22.364285714285714,1750,-24.805608667941364,1569,-38920.0,-155630.0,54222.5,2,7
ES,5,30,6.0,5031,-136155.0,-27.06320810971974,-67.5,0.41045517789703834,0.10276607927843644,-30.686331775700936,1712,-22.428571428571427,1750,-28.279158699808796,1569,-44370.0,-164192.5,57407.5,3,7
ES,5,30,10.0,5030,-88237.5,-17.542246520874752,-17.5,0.463817097415507,0.2907295295759015,-23.8741238317757,1712,-18.0,1750,-10.11798469387755,1568,-15865.0,-136412.5,44055.0,3,7
ES,5,60,0.0,5023,-21302.5,-4.240991439378857,-5.0,0.4849691419470436,0.5382080264497846,-18.10814771395076,1706,-11.067753001715266,1749,18.461415816326532,1568,28947.5,-135650.0,32495.0,4,7
ES,5,60,2.0,5033,-144577.5,-28.725909000596065,-80.0,0.16054043314126765,0.011445625168454746,-35.195563339171045,1713,-22.90405482581382,1751,-28.15965583173996,1569,-44182.5,-173655.0,53870.0,2,7
ES,5,60,4.0,5029,-115170.0,-22.901173195466296,-130.0,0.29329886657387155,0.14009583205827328,-35.43859649122807,1710,-22.84285714285714,1750,-9.302103250478012,1569,-14595.0,-169005.0,44302.5,4,7
ES,5,60,6.0,5027,-109547.5,-21.791824149592202,-130.0,0.37915257608911873,0.20292245541094142,-30.980105324751317,1709,-22.352773013150372,1749,-11.15838113448056,1569,-17507.5,-176442.5,46592.5,4,7
ES,5,60,10.0,5025,-51812.5,-10.310945273631841,-30.0,0.45930348258706466,0.40766575629850277,-24.284250585480095,1708,-16.863922241280733,1749,12.21938775510204,1568,19160.0,-145387.5,33520.0,5,7
ES,5,120,0.0,5015,29012.5,5.7851445663010965,-5.0,0.49192422731804586,0.8156270933048165,-9.980927230046948,1704,3.009153318077803,1748,26.078055022392835,1563,40760.0,-171300.0,36855.0,4,7
ES,5,120,2.0,5033,-137952.5,-27.409596662030598,-80.0,0.1313332008742301,0.11077307882153709,-32.60507880910683,1713,-19.07766990291262,1751,-31.035691523263225,1569,-48695.0,-200680.0,63050.0,3,7
ES,5,120,4.0,5028,-87152.5,-17.33343277645187,-130.0,0.24821002386634844,0.2725647595802083,-31.359649122807017,1710,-17.27857142857143,1750,-2.0982142857142856,1568,-3290.0,-195475.0,30997.5,4,7
ES,5,120,6.0,5025,-66412.5,-13.216417910447761,-180.0,0.3351243781094527,0.37291596329155613,-28.06904622586308,1709,-13.667048054919908,1748,3.474170918367347,1568,5447.5,-198537.5,32902.5,4,7
ES,5,120,10.0,5019,-24107.5,-4.803247658896194,-80.0,0.4375373580394501,0.5732776066636815,-23.680433509080256,1707,-7.002288329519451,1748,18.2576726342711,1564,28555.0,-182680.0,31485.0,5,7
ES,6,30,0.0,5030,-128337.5,-25.51441351888668,-17.5,0.46520874751491054,0.25671877395837833,-19.077102803738317,1712,-20.014285714285716,1750,-38.68144132653061,1568,-60652.5,-174925.0,65460.0,1,7
ES,6,30,2.0,5036,-180017.5,-35.74612787926926,-80.0,0.1926131850675139,-0.12549520638053577,-31.966783216783217,1716,-33.59080525414049,1751,-42.2848948374761,1569,-66345.0,-166880.0,66345.0,0,7
ES,6,30,4.0,5032,-158935.0,-31.58485691573927,-130.0,0.3392289348171701,-0.00888976871291076,-28.59894921190893,1713,-32.0,1750,-34.38177182919057,1569,-53945.0,-165955.0,59467.5,1,7
ES,6,30,6.0,5032,-157522.5,-31.304153418124006,-80.0,0.41156597774244835,0.0323686474625324,-27.088441330998247,1713,-30.792857142857144,1750,-36.477055449330784,1569,-57232.5,-171280.0,63887.5,2,7
ES,6,30,10.0,5031,-137355.0,-27.301729278473463,-30.0,0.45796064400715564,0.20189598792184296,-22.659077641564508,1713,-22.185714285714287,1750,-38.08354591836735,1568,-59715.0,-173987.5,67635.0,1,7
ES,6,60,0.0,5025,-88775.0,-17.666666666666668,-17.5,0.48218905472636814,0.39016872518662965,-18.056206088992973,1708,-16.556603773584907,1749,-18.480548469387756,1568,-28977.5,-187862.5,41600.0,2,7
ES,6,60,2.0,5036,-179592.5,-35.661735504368544,-80.0,0.15587768069896743,-0.11490404222654244,-34.865967365967364,1716,-35.06853226727584,1751,-37.19407265774379,1569,-58357.5,-185192.5,61210.0,1,7
ES,6,60,4.0,5030,-143825.0,-28.593439363817097,-130.0,0.2944333996023857,0.006076960676954858,-32.315897136177675,1711,-34.58571428571429,1750,-17.850541746335246,1569,-28007.5,-177942.5,45940.0,3,7
ES,6,60,6.0,5029,-131182.5,-26.085205806323323,-142.5,0.38317757009345793,0.10427146508002198,-28.75,1710,-32.48571428571429,1750,-16.04206500956023,1569,-25170.0,-181405.0,43267.5,2,7
