spine_pos,relative_to_t0,close_utc,open,high,low,close
4556056,-309,2021-01-04 09:22:00+00:00,12951.25,12951.5,12950.0,12950.75
4556057,-308,2021-01-04 09:23:00+00:00,12950.5,12953.25,12950.5,12951.75
4556058,-307,2021-01-04 09:24:00+00:00,12951.5,12955.0,12949.0,12953.25
4556059,-306,2021-01-04 09:25:00+00:00,12953.0,12954.0,12951.0,12951.5
4556060,-305,2021-01-04 09:26:00+00:00,12951.75,12953.0,12951.25,12951.25
4556061,-304,2021-01-04 09:27:00+00:00,12951.75,12952.25,12950.25,12950.25
4556062,-303,2021-01-04 09:28:00+00:00,12950.5,12951.75,12950.25,12951.5
4556063,-302,2021-01-04 09:29:00+00:00,12951.25,12952.75,12950.75,12951.25
4556064,-301,2021-01-04 09:30:00+00:00,12951.5,12953.5,12951.5,12952.25
4556065,-300,2021-01-04 09:31:00+00:00,12952.5,12953.75,12951.25,12952.5
4556066,-299,2021-01-04 09:32:00+00:00,12952.75,12953.75,12951.5,12952.0
4556067,-298,2021-01-04 09:33:00+00:00,12952.5,12954.5,12951.75,12954.25
4556068,-297,2021-01-04 09:34:00+00:00,12954.25,12954.5,12953.0,12953.0
4556069,-296,2021-01-04 09:35:00+00:00,12953.0,12954.5,12952.75,12953.25
4556070,-295,2021-01-04 09:36:00+00:00,12953.0,12955.0,12952.75,12954.5
4556071,-294,2021-01-04 09:37:00+00:00,12954.5,12959.75,12954.25,12957.5
4556072,-293,2021-01-04 09:38:00+00:00,12957.5,12957.75,12955.0,12956.0
4556073,-292,2021-01-04 09:39:00+00:00,12956.25,12958.0,12956.25,12956.75
4556074,-291,2021-01-04 09:40:00+00:00,12956.75,12957.0,12955.75,12955.75
4556075,-290,2021-01-04 09:41:00+00:00,12956.5,12957.0,12955.5,12956.5
4556076,-289,2021-01-04 09:42:00+00:00,12956.25,12956.25,12954.0,12954.25
4556077,-288,2021-01-04 09:43:00+00:00,12954.75,12956.0,12953.75,12955.25
4556078,-287,2021-01-04 09:44:00+00:00,12955.25,12956.75,12953.5,12955.0
4556079,-286,2021-01-04 09:45:00+00:00,12954.5,12958.25,12954.25,12956.5
4556080,-285,2021-01-04 09:46:00+00:00,12956.0,12957.75,12955.25,12955.25
4556081,-284,2021-01-04 09:47:00+00:00,12955.25,12955.5,12949.25,12950.25
4556082,-283,2021-01-04 09:48:00+00:00,12950.25,12951.75,12948.75,12951.25
4556083,-282,2021-01-04 09:49:00+00:00,12951.0,12952.0,12949.5,12950.75
4556084,-281,2021-01-04 09:50:00+00:00,12950.5,12952.0,12950.25,12951.0
4556085,-280,2021-01-04 09:51:00+00:00,12951.0,12954.0,12950.25,12950.5
4556086,-279,2021-01-04 09:52:00+00:00,12950.25,12951.25,12949.75,12950.75
4556087,-278,2021-01-04 09:53:00+00:00,12950.25,12951.0,12949.0,12949.0
4556088,-277,2021-01-04 09:54:00+00:00,12949.5,12950.0,12947.5,12947.5
4556089,-276,2021-01-04 09:55:00+00:00,12947.5,12948.5,12946.75,12948.25
4556090,-275,2021-01-04 09:56:00+00:00,12948.25,12949.5,12947.25,12949.0
4556091,-274,2021-01-04 09:57:00+00:00,12948.75,12949.0,12947.25,12948.25
4556092,-273,2021-01-04 09:58:00+00:00,12948.25,12948.5,12947.25,12947.5
4556093,-272,2021-01-04 09:59:00+00:00,12947.75,12948.75,12946.75,12948.75
4556094,-271,2021-01-04 10:00:00+00:00,12949.0,12949.5,12947.75,12948.75
4556095,-270,2021-01-04 10:01:00+00:00,12948.75,12950.75,12947.75,12950.0
4556096,-269,2021-01-04 10:02:00+00:00,12949.75,12953.5,12949.75,12950.75
4556097,-268,2021-01-04 10:03:00+00:00,12951.25,12953.25,12950.25,12952.0
4556098,-267,2021-01-04 10:04:00+00:00,12951.75,12952.5,12950.25,12951.25
4556099,-266,2021-01-04 10:05:00+00:00,12950.5,12951.25,12950.0,12950.75
4556100,-265,2021-01-04 10:06:00+00:00,12950.75,12950.75,12948.0,12948.5
4556101,-264,2021-01-04 10:07:00+00:00,12948.0,12949.75,12947.5,12949.5
4556102,-263,2021-01-04 10:08:00+00:00,12949.5,12950.75,12949.0,12950.75
4556103,-262,2021-01-04 10:09:00+00:00,12950.75,12951.25,12949.5,12950.0
4556104,-261,2021-01-04 10:10:00+00:00,12949.5,12950.0,12948.75,12949.5
4556105,-260,2021-01-04 10:11:00+00:00,12949.25,12949.25,12948.5,12949.0
4556106,-259,2021-01-04 10:12:00+00:00,12948.75,12948.75,12947.0,12947.5
4556107,-258,2021-01-04 10:13:00+00:00,12947.25,12947.25,12944.75,12946.75
4556108,-257,2021-01-04 10:14:00+00:00,12946.75,12949.25,12946.75,12949.25
4556109,-256,2021-01-04 10:15:00+00:00,12949.25,12952.0,12948.5,12950.25
4556110,-255,2021-01-04 10:16:00+00:00,12950.25,12950.75,12947.5,12948.25
4556111,-254,2021-01-04 10:17:00+00:00,12948.0,12948.75,12947.75,12948.5
4556112,-253,2021-01-04 10:18:00+00:00,12948.5,12948.5,12946.5,12947.0
