day,net
2023-05-03 00:00:00-04:00,-1034.6500000000015
2023-05-04 00:00:00-04:00,-1386.150000000016
2023-05-05 00:00:00-04:00,3080.0
2023-05-08 00:00:00-04:00,-683.9250000000175
2023-05-09 00:00:00-04:00,-70.0
2023-05-10 00:00:00-04:00,-2970.3999999999724
2023-05-11 00:00:00-04:00,-1683.774999999987
2023-05-12 00:00:00-04:00,-1627.3499999999694
2023-05-15 00:00:00-04:00,-770.0
2023-05-16 00:00:00-04:00,1245.0
2023-05-17 00:00:00-04:00,-1180.9999999999854
2023-05-18 00:00:00-04:00,2093.75
2023-05-19 00:00:00-04:00,361.2250000000131
2023-05-22 00:00:00-04:00,450.0
2023-05-23 00:00:00-04:00,835.0
2023-05-24 00:00:00-04:00,1400.0
2023-05-25 00:00:00-04:00,-2013.75
2023-05-26 00:00:00-04:00,4005.3499999999985
2023-05-29 00:00:00-04:00,-200.0
2023-05-30 00:00:00-04:00,-1669.1999999999825
2023-05-31 00:00:00-04:00,-1330.8000000000175
2023-06-01 00:00:00-04:00,-1729.5999999999913
2023-06-02 00:00:00-04:00,-1262.400000000016
2023-06-05 00:00:00-04:00,2640.0
2023-06-06 00:00:00-04:00,-948.8000000000102
2023-06-07 00:00:00-04:00,-352.20000000001164
2023-06-08 00:00:00-04:00,1746.274999999987
2023-06-09 00:00:00-04:00,-1530.0
2023-06-12 00:00:00-04:00,1135.0
2023-06-13 00:00:00-04:00,-1032.7500000000146
2023-06-14 00:00:00-04:00,-2284.42500000001
2023-06-15 00:00:00-04:00,70.20000000000437
2023-06-16 00:00:00-04:00,2235.0
2023-06-19 00:00:00-04:00,255.0
2023-06-20 00:00:00-04:00,-2220.024999999987
2023-06-21 00:00:00-04:00,-1320.8000000000175
2023-06-22 00:00:00-04:00,3275.0
2023-06-23 00:00:00-04:00,-271.1999999999898
2023-06-26 00:00:00-04:00,-1629.1999999999825
2023-06-27 00:00:00-04:00,-722.9999999999927
2023-06-28 00:00:00-04:00,1800.0
2023-06-29 00:00:00-04:00,145.0
2023-06-30 00:00:00-04:00,1430.0
2023-07-03 00:00:00-04:00,-1109.7999999999956
2023-07-04 00:00:00-04:00,-210.0
2023-07-05 00:00:00-04:00,275.0
2023-07-06 00:00:00-04:00,515.0
2023-07-07 00:00:00-04:00,2040.0
2023-07-10 00:00:00-04:00,-1837.9999999999927
2023-07-11 00:00:00-04:00,-583.7250000000131
2023-07-12 00:00:00-04:00,-635.0
2023-07-13 00:00:00-04:00,1305.0
2023-07-14 00:00:00-04:00,27.20000000001164
2023-07-17 00:00:00-04:00,1840.0
2023-07-18 00:00:00-04:00,985.0
2023-07-19 00:00:00-04:00,-1676.9250000000102
2023-07-20 00:00:00-04:00,-2701.374999999971
2023-07-21 00:00:00-04:00,-112.90000000000873
2023-07-24 00:00:00-04:00,-1869.1250000000218
2023-07-25 00:00:00-04:00,825.0
2023-07-26 00:00:00-04:00,20.349999999998545
2023-07-27 00:00:00-04:00,1593.8000000000102
2023-07-28 00:00:00-04:00,-2509.8249999999825
2023-07-31 00:00:00-04:00,-1844.1999999999825
2023-08-01 00:00:00-04:00,-1475.4750000000058
2023-08-02 00:00:00-04:00,1748.9500000000044
2023-08-03 00:00:00-04:00,2215.0
2023-08-04 00:00:00-04:00,1168.8000000000102
2023-08-07 00:00:00-04:00,1110.0
2023-08-08 00:00:00-04:00,958.8999999999942
2023-08-09 00:00:00-04:00,2970.0
2023-08-10 00:00:00-04:00,-2716.5999999999985
2023-08-11 00:00:00-04:00,355.0
2023-08-14 00:00:00-04:00,-2279.7999999999956
2023-08-15 00:00:00-04:00,-195.6000000000131
2023-08-16 00:00:00-04:00,-2269.1500000000087
2023-08-17 00:00:00-04:00,4685.0
2023-08-18 00:00:00-04:00,1005.0
2023-08-21 00:00:00-04:00,1095.0
2023-08-22 00:00:00-04:00,390.0
2023-08-23 00:00:00-04:00,-2160.57499999999
