ins,epoch,cond,hour,n,bp,m,t,usd,years_pos
ES,2006-2012,A,7,1706,-0.06428909532389905,-0.002653377067861553,-0.10959443064506787,-0.7913247362250879,2/7
ES,2006-2012,A,8,1706,-1.1721708486280433,-0.03309361516482954,-1.366890501883888,-6.242672919109027,2/7
ES,2006-2012,A,9,1706,0.3322327213286166,0.007846645438039937,0.3240959039224561,2.4325908558030482,4/7
ES,2006-2012,A,10,1711,1.1839777398159614,0.024905066585995568,1.030179045878951,7.17416715371128,5/7
ES,2006-2012,A,11,1671,-0.26385673120803194,-0.007147449106935564,-0.29217247306727406,-1.7878515858767206,3/7
ES,2006-2012,A,12,1672,-0.6241362136248858,-0.018098320606433734,-0.7400420779042887,-4.1118421052631575,2/7
ES,2006-2012,A,13,1656,-0.5870336739108368,-0.015509616044842368,-0.6311480035661707,-3.1551932367149758,4/7
ES,2006-2012,A,14,1652,-0.43068539465092986,-0.009930507286727248,-0.4036235110264507,-1.4603510895883778,3/7
ES,2006-2012,A,15,1645,5.987450871482007,0.08961547512515985,3.6346781718934755,31.527355623100306,7/7
ES,2006-2012,A,16,1337,-1.481185164769401,-0.06430312158347772,-2.3512443221563375,-7.759910246821241,2/7
ES,2006-2012,A,19,1612,0.2575587266462749,0.016674381786036307,0.6694717565437373,0.9925558312655087,5/7
ES,2006-2012,A,20,1601,1.4786059579413675,0.0820580846521424,3.2833489519242156,7.92473454091193,6/7
ES,2006-2012,A,21,1598,0.0959180983216175,0.0062387932065079655,0.24939570965909733,0.7196495619524406,4/7
ES,2006-2012,A,22,1595,-0.4941051025045469,-0.03068927258944056,-1.2256513231951556,-2.80564263322884,3/7
ES,2006-2012,A,23,1592,-0.20205022135120054,-0.014537406673816743,-0.5800407045522676,-1.0285804020100502,3/7
ES,2006-2012,B,0,1558,0.38009754437278204,0.027026979919322302,1.0667956733440684,1.7008985879332477,4/7
ES,2006-2012,B,1,1647,0.1764210707286899,0.011773420558838133,0.4778036437033875,1.305403764420158,5/7
ES,2006-2012,B,2,1721,1.414290795072726,0.07105730288232905,2.9478077352669922,6.9291109819872165,6/7
ES,2006-2012,B,3,1723,0.7665651052022151,0.027954033757122448,1.1603449701171415,4.287579802669762,5/7
ES,2006-2012,B,4,1724,-1.2717141181691343,-0.05326210716535189,-2.2115001584696916,-6.518271461716937,2/7
ES,2006-2012,B,5,1725,-1.743428268262761,-0.08148200412476296,-3.3842017993057247,-9.181159420289855,1/7
ES,2006-2012,B,6,1734,-1.1153260859930814,-0.048821099404820004,-2.0329752977995765,-6.437427912341407,2/7
ES,2006-2012,B,7,1735,-0.4957106031945622,-0.02052756624295353,-0.8550415154336639,-2.9394812680115274,2/7
ES,2006-2012,B,8,1735,1.562257471280269,0.04427946738750773,1.844387320421218,9.531700288184439,5/7
ES,2006-2012,B,9,1733,1.7417619418969388,0.04143579639384198,1.7249438863622235,11.324293133294864,5/7
ES,2006-2012,B,10,1739,0.4274518268237153,0.009028654007164114,0.3765067802070757,3.9462334675100634,3/7
ES,2006-2012,B,11,1700,1.6411017814596143,0.04449733556789142,1.8346721460496995,8.933823529411764,5/7
ES,2006-2012,B,12,1701,0.12201714692172232,0.0035557564696648216,0.14665070857561194,0.5291005291005291,5/7
ES,2006-2012,B,13,1685,-1.639269032795909,-0.04353891744503871,-1.7872182029348669,-8.57566765578635,2/7
ES,2006-2012,B,14,1680,0.574827232361717,0.013345739052698785,0.547012524033395,3.2589285714285716,5/7
ES,2006-2012,B,15,1673,4.993109659443267,0.075219873585735,3.076667540783512,25.268977884040645,3/7
ES,2006-2012,B,16,1356,0.18675491421489965,0.008108578498058433,0.29858952656019605,1.060103244837758,4/7
ES,2006-2012,B,19,1639,-0.1872820109417865,-0.012170693274925865,-0.4927252224969022,-1.0753508236729714,5/7
ES,2006-2012,B,20,1629,0.7154156571237429,0.039485706592567414,1.5936775551883857,3.7523020257826887,5/7
ES,2006-2012,B,21,1625,0.649388376436355,0.04269031584354508,1.7209016484346682,4.576923076923077,4/7
ES,2006-2012,B,22,1622,-0.04138536347817486,-0.00259255315200595,-0.10441264412978463,-0.531750924784217,4/7
ES,2006-2012,B,23,1620,-0.0329530335767609,-0.0023898773291432837,-0.0961907069853004,0.4861111111111111,4/7
ES,2013-2019,A,0,1726,0.49095695035401615,0.05700948299512056,2.3684678733869804,5.337485515643105,4/7
ES,2013-2019,A,1,1735,0.04791789856383971,0.006060004746627912,0.2524193847807259,-0.03602305475504323,4/7
ES,2013-2019,A,2,1735,0.7652510971719069,0.06723010306203224,2.800357749407049,8.760806916426512,7/7
ES,2013-2019,A,3,1735,-0.6344685874057234,-0.038678338832972524,-1.611081657649211,-7.017291066282421,0/7
