label,epoch,hour,n,unknown,mean_bp,sd_bp,m,t,mean_usd,years_pos
NQ ET,2013-2019,3,1794,762,-0.1436127491890266,19.15115126660162,-0.007498909448826611,-0.31762108777839615,-2.109810479375697,3/7
NQ ET,2013-2019,4,1793,763,-0.016288573213762897,16.2298959961553,-0.0010036153785348654,-0.04249691969614744,-0.03904071388733965,3/7
NQ ET,2013-2019,5,1793,763,0.25553166090934915,14.212267443096762,0.017979654684409065,0.7613274543513278,4.308421639709984,4/7
NQ ET,2013-2019,6,1794,762,-0.06365012513260525,12.877742216253631,-0.0049426463167021074,-0.209348934045397,-0.6354515050167224,3/7
NQ ET,2013-2019,7,1797,759,1.1202061027263102,15.65520262457558,0.07155487728838511,3.0332854355251935,9.927657206455203,6/7
NQ ET,2013-2019,8,1797,759,0.1751158237983657,18.453602960918445,0.009489519427140103,0.40227056714063825,0.781858653311074,4/7
NQ ET,2013-2019,9,1795,761,0.7806024799606643,35.43199405452996,0.02203100617931112,0.9333973396816365,5.844011142061281,4/7
NQ ET,2013-2019,10,1795,761,-0.2802019714813088,35.877060922557995,-0.007810059248892641,-0.33089221919052164,-1.8774373259052926,3/7
NQ ET,2013-2019,11,1787,769,0.6391300185790505,28.889894511119035,0.022122961312062407,0.9352022351145355,4.348069390039171,5/7
NQ ET,2013-2019,12,1788,768,0.17236495090929224,24.209020570680824,0.007119864696965098,0.3010616917940985,0.11465324384787472,4/7
NQ ET,2013-2019,13,1737,819,-0.3792950478845881,24.332130960075684,-0.015588237976646512,-0.649676168954328,-1.839378238341969,3/7
NQ ET,2013-2019,14,1737,819,0.7143830827838354,29.09326397422579,0.024554930770803833,1.0233840011946294,4.625791594703512,3/7
NQ ET,2013-2019,15,1737,819,-0.05196634992742506,31.30098118656067,-0.0016602147267427271,-0.06919332030519915,-0.8059873344847438,4/7
NQ ET,2013-2019,16,1736,820,2.0566079821094383,19.809951841370047,0.10381690973193221,4.325566147402701,21.137672811059907,6/7
NQ ET,2013-2019,19,1788,768,0.7021126526491166,10.764713616178575,0.06522353289491072,2.7579607189024244,7.119686800894854,7/7
NQ ET,2013-2019,20,1777,779,0.10771800072517747,14.849937912373033,0.007253767750464893,0.3057787917245821,1.3984243106359031,3/7
