date,status,usd,gross,n_tr,held,open,year
2016-03-16,ok,-75.0,-60.0,1.0,29.0,17121.0,2016
2016-03-17,ok,385.0,400.0,1.0,299.0,17238.0,2016
2016-03-18,ok,-55.0,-40.0,1.0,30.0,17441.0,2016
2016-03-21,ok,0.0,0.0,0.0,0.0,17482.0,2016
2016-03-22,ok,0.0,0.0,0.0,0.0,17465.0,2016
2016-03-23,ok,0.0,0.0,0.0,0.0,17448.0,2016
2016-03-24,ok,0.0,0.0,0.0,0.0,17316.0,2016
2016-03-28,ok,0.0,0.0,0.0,0.0,17446.0,2016
2016-03-29,ok,-10.0,5.0,1.0,89.0,17383.0,2016
2016-03-30,ok,-105.0,-90.0,1.0,30.0,17644.0,2016
2016-03-31,ok,0.0,0.0,0.0,0.0,17615.0,2016
2016-04-01,ok,30.0,75.0,3.0,149.0,17490.0,2016
2016-04-04,ok,0.0,0.0,0.0,0.0,17694.0,2016
2016-04-05,ok,0.0,0.0,0.0,0.0,17538.0,2016
2016-04-06,ok,-355.0,-310.0,3.0,269.0,17521.0,2016
2016-04-07,ok,-225.0,-180.0,3.0,120.0,17508.0,2016
2016-04-08,ok,-150.0,-135.0,1.0,60.0,17558.0,2016
2016-04-11,ok,-425.0,-410.0,1.0,60.0,17550.0,2016
2016-04-12,ok,-60.0,-30.0,2.0,329.0,17494.0,2016
2016-04-13,ok,-330.0,-255.0,5.0,209.0,17729.0,2016
2016-04-14,ok,0.0,0.0,0.0,0.0,17833.0,2016
2016-04-15,ok,0.0,0.0,0.0,0.0,17849.0,2016
2016-04-18,ok,250.0,265.0,1.0,329.0,17756.0,2016
2016-04-19,ok,-100.0,-85.0,1.0,30.0,17957.0,2016
2016-04-20,ok,-105.0,-90.0,1.0,179.0,17950.0,2016
2016-04-21,ok,165.0,180.0,1.0,179.0,18006.0,2016
2016-04-22,ok,-150.0,-135.0,1.0,30.0,17902.0,2016
2016-04-25,ok,-235.0,-205.0,2.0,90.0,17862.0,2016
2016-04-26,ok,0.0,0.0,0.0,0.0,17934.0,2016
2016-04-27,ok,-220.0,-190.0,2.0,59.0,17858.0,2016
2016-04-28,ok,-175.0,-160.0,1.0,29.0,17850.0,2016
2016-04-29,ok,-315.0,-255.0,4.0,210.0,17677.0,2016
2016-05-02,ok,0.0,0.0,0.0,0.0,17740.0,2016
2016-05-03,ok,-80.0,-65.0,1.0,150.0,17686.0,2016
2016-05-04,ok,0.0,0.0,0.0,0.0,17587.0,2016
2016-05-05,ok,0.0,0.0,0.0,0.0,17612.0,2016
2016-05-06,ok,120.0,135.0,1.0,119.0,17508.0,2016
2016-05-09,ok,-360.0,-330.0,2.0,60.0,17656.0,2016
2016-05-10,ok,310.0,325.0,1.0,359.0,17711.0,2016
2016-05-11,ok,390.0,405.0,1.0,179.0,17803.0,2016
2016-05-12,ok,-195.0,-180.0,1.0,90.0,17722.0,2016
2016-05-13,ok,390.0,405.0,1.0,149.0,17638.0,2016
2016-05-16,ok,510.0,525.0,1.0,359.0,17492.0,2016
2016-05-17,ok,-125.0,-95.0,2.0,149.0,17625.0,2016
2016-05-18,ok,-1050.0,-1020.0,2.0,120.0,17442.0,2016
2016-05-19,ok,-175.0,-160.0,1.0,210.0,17425.0,2016
2016-05-20,ok,-85.0,-70.0,1.0,180.0,17451.0,2016
2016-05-23,ok,0.0,0.0,0.0,0.0,17474.0,2016
2016-05-24,ok,220.0,235.0,1.0,359.0,17562.0,2016
2016-05-25,ok,75.0,90.0,1.0,359.0,17740.0,2016
2016-05-26,ok,0.0,0.0,0.0,0.0,17846.0,2016
2016-05-27,ok,0.0,0.0,0.0,0.0,17819.0,2016
2016-05-31,ok,-85.0,-55.0,2.0,209.0,17886.0,2016
2016-06-01,ok,0.0,0.0,0.0,0.0,17689.0,2016
2016-06-02,ok,0.0,0.0,0.0,0.0,17729.0,2016
2016-06-03,ok,-175.0,-160.0,1.0,60.0,17779.0,2016
2016-06-06,ok,-135.0,-90.0,3.0,120.0,17843.0,2016
2016-06-07,ok,0.0,0.0,0.0,0.0,17940.0,2016
2016-06-08,ok,-185.0,-170.0,1.0,30.0,17956.0,2016
2016-06-09,ok,0.0,0.0,0.0,0.0,17838.0,2016
2016-06-10,ok,0.0,0.0,0.0,0.0,17765.0,2016
2016-06-13,ok,0.0,0.0,0.0,0.0,17700.0,2016
2016-06-14,ok,-755.0,-710.0,3.0,180.0,17602.0,2016
2016-06-15,ok,0.0,0.0,0.0,0.0,17624.0,2016
2016-06-16,ok,-490.0,-460.0,2.0,119.0,17470.0,2016
2016-06-17,ok,-75.0,-60.0,1.0,240.0,17637.0,2016
2016-06-20,ok,-75.0,-60.0,1.0,90.0,17766.0,2016
2016-06-21,ok,0.0,0.0,0.0,0.0,17741.0,2016
2016-06-22,ok,-430.0,-400.0,2.0,90.0,17759.0,2016
2016-06-23,ok,-70.0,-55.0,1.0,30.0,17833.0,2016
2016-06-24,ok,-80.0,-65.0,1.0,29.0,17383.0,2016
2016-06-27,ok,140.0,155.0,1.0,359.0,17163.0,2016
2016-06-28,ok,-65.0,-50.0,1.0,30.0,17206.0,2016
2016-06-29,ok,315.0,330.0,1.0,269.0,17436.0,2016
2016-06-30,ok,615.0,630.0,1.0,269.0,17631.0,2016
2016-07-01,ok,-170.0,-140.0,2.0,120.0,17812.0,2016
2016-07-05,ok,50.0,65.0,1.0,120.0,17781.0,2016
2016-07-06,ok,-555.0,-510.0,3.0,90.0,17686.0,2016
