date,status,usd,gross,n_tr,held,open,year
2018-03-08,ok,0.0,0.0,0.0,0.0,6982.5,2018
2018-03-09,ok,1155.0,1185.0,2.0,299.0,7046.0,2018
2018-03-12,ok,-340.0,-325.0,1.0,30.0,7150.25,2018
2018-03-13,ok,620.0,650.0,2.0,239.0,7197.25,2018
2018-03-14,ok,0.0,0.0,0.0,0.0,7105.25,2018
2018-03-15,ok,0.0,0.0,0.0,0.0,7071.25,2018
2018-03-16,ok,0.0,0.0,0.0,0.0,7067.5,2018
2018-03-19,ok,1325.0,1340.0,1.0,329.0,6972.0,2018
2018-03-20,ok,85.0,100.0,1.0,30.0,6884.25,2018
2018-03-21,ok,0.0,0.0,0.0,0.0,6887.25,2018
2018-03-22,ok,-580.0,-565.0,1.0,60.0,6779.75,2018
2018-03-23,ok,1610.0,1640.0,2.0,179.0,6692.25,2018
2018-03-26,ok,600.0,630.0,2.0,119.0,6655.25,2018
2018-03-27,ok,3655.0,3670.0,1.0,149.0,6819.0,2018
2018-03-28,ok,125.0,140.0,1.0,90.0,6512.0,2018
2018-03-29,ok,-100.0,-70.0,2.0,329.0,6505.5,2018
2018-04-02,ok,2180.0,2195.0,1.0,359.0,6539.5,2018
2018-04-03,ok,0.0,0.0,0.0,0.0,6456.75,2018
2018-04-04,ok,195.0,210.0,1.0,29.0,6344.0,2018
2018-04-05,ok,0.0,0.0,0.0,0.0,6636.0,2018
2018-04-06,ok,490.0,505.0,1.0,119.0,6537.0,2018
2018-04-09,ok,675.0,690.0,1.0,270.0,6495.25,2018
2018-04-10,ok,0.0,0.0,0.0,0.0,6585.0,2018
2018-04-11,ok,0.0,0.0,0.0,0.0,6589.5,2018
2018-04-12,ok,-135.0,-120.0,1.0,60.0,6632.75,2018
2018-04-13,ok,0.0,0.0,0.0,0.0,6702.5,2018
2018-04-16,ok,0.0,0.0,0.0,0.0,6681.75,2018
2018-04-17,ok,155.0,170.0,1.0,180.0,6751.25,2018
2018-04-18,ok,0.0,0.0,0.0,0.0,6831.25,2018
2018-04-19,ok,0.0,0.0,0.0,0.0,6810.5,2018
2018-04-20,ok,590.0,620.0,2.0,329.0,6761.0,2018
2018-04-23,ok,0.0,0.0,0.0,0.0,6701.5,2018
2018-04-24,ok,2185.0,2200.0,1.0,329.0,6684.25,2018
2018-04-25,ok,-1345.0,-1330.0,1.0,60.0,6524.75,2018
2018-04-26,ok,-295.0,-250.0,3.0,120.0,6604.75,2018
2018-04-27,ok,0.0,0.0,0.0,0.0,6754.25,2018
2018-04-30,ok,0.0,0.0,0.0,0.0,6677.25,2018
2018-05-01,ok,0.0,0.0,0.0,0.0,6595.0,2018
2018-05-02,ok,0.0,0.0,0.0,0.0,6700.75,2018
2018-05-03,ok,-2245.0,-2215.0,2.0,90.0,6614.75,2018
2018-05-04,ok,1400.0,1415.0,1.0,329.0,6616.0,2018
2018-05-07,ok,15.0,30.0,1.0,60.0,6802.75,2018
2018-05-08,ok,0.0,0.0,0.0,0.0,6811.75,2018
2018-05-09,ok,-130.0,-115.0,1.0,30.0,6833.0,2018
2018-05-10,ok,0.0,0.0,0.0,0.0,6917.25,2018
2018-05-11,ok,0.0,0.0,0.0,0.0,6954.5,2018
2018-05-14,ok,0.0,0.0,0.0,0.0,6974.25,2018
2018-05-15,ok,-785.0,-740.0,3.0,120.0,6913.75,2018
2018-05-16,ok,-165.0,-150.0,1.0,30.0,6900.0,2018
2018-05-17,ok,0.0,0.0,0.0,0.0,6912.25,2018
2018-05-18,ok,0.0,0.0,0.0,0.0,6883.0,2018
2018-05-21,ok,-220.0,-205.0,1.0,30.0,6925.25,2018
2018-05-22,ok,0.0,0.0,0.0,0.0,6942.25,2018
2018-05-23,ok,315.0,330.0,1.0,29.0,6848.25,2018
2018-05-24,ok,-295.0,-280.0,1.0,120.0,6957.25,2018
2018-05-25,ok,-70.0,-55.0,1.0,30.0,6956.5,2018
2018-05-29,ok,-115.0,-100.0,1.0,30.0,6930.0,2018
2018-05-30,ok,-430.0,-385.0,3.0,120.0,6959.25,2018
2018-05-31,ok,-300.0,-285.0,1.0,30.0,6979.5,2018
2018-06-01,ok,1045.0,1060.0,1.0,359.0,7010.25,2018
2018-06-04,ok,35.0,50.0,1.0,209.0,7103.75,2018
2018-06-05,ok,0.0,0.0,0.0,0.0,7165.25,2018
2018-06-06,ok,0.0,0.0,0.0,0.0,7179.5,2018
2018-06-07,ok,210.0,225.0,1.0,329.0,7238.0,2018
2018-06-08,ok,0.0,0.0,0.0,0.0,7138.75,2018
2018-06-11,ok,-495.0,-465.0,2.0,149.0,7171.0,2018
2018-06-12,ok,-570.0,-555.0,1.0,30.0,7206.5,2018
2018-06-13,ok,-260.0,-230.0,2.0,90.0,7246.0,2018
2018-06-14,ok,-550.0,-505.0,3.0,269.0,7266.75,2018
2018-06-15,ok,0.0,0.0,0.0,0.0,7283.25,2018
2018-06-18,ok,0.0,0.0,0.0,0.0,7232.5,2018
2018-06-19,ok,0.0,0.0,0.0,0.0,7179.5,2018
2018-06-20,ok,-660.0,-615.0,3.0,150.0,7285.5,2018
2018-06-21,ok,-235.0,-205.0,2.0,299.0,7322.25,2018
2018-06-22,ok,-25.0,-10.0,1.0,60.0,7265.75,2018
2018-06-25,ok,1140.0,1155.0,1.0,359.0,7159.25,2018
2018-06-26,ok,0.0,0.0,0.0,0.0,7086.0,2018
2018-06-27,ok,880.0,910.0,2.0,179.0,7118.25,2018
2018-06-28,ok,-760.0,-715.0,3.0,209.0,6983.75,2018
