id,instrument,k,entry,horizon,kind,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,optimistic_total,net_before_2020,net_2020,target
NQ_k5_reject_time_h15_confined,NQ,5,,15,reject,769,678,587,4966,0.13217279174725982,-12175.0,-2005.0,-17.957227138643066,13755.0,0.17994100294985252,3.0,-12175.0,-4885.0,-7290.0,False
NQ_k5_reject_time_h30_confined,NQ,5,,30,reject,769,678,587,4966,0.13217279174725982,-19545.0,-9375.0,-28.827433628318584,20490.0,0.12684365781710916,3.0,-19545.0,-5560.0,-13985.0,False
YM_k3_stop_h5_confined,YM,3,stop,5,breakout,49135,20339,3949,4895,0.8401031592520954,-326195.0,-21110.0,-16.03790746841044,326625.0,0.3359555533703722,5.0,-326195.0,-228875.0,-97320.0,
YM_k3_stop_h15_confined,YM,3,stop,15,breakout,49135,16904,3949,4895,0.8401031592520954,-278715.0,-25155.0,-16.488109323237104,278715.0,0.3220539517274018,11.0,-278715.0,-199530.0,-79185.0,
YM_k3_stop_h30_confined,YM,3,stop,30,breakout,49135,15176,3949,4895,0.8401031592520954,-234285.0,-6645.0,-15.43786241433843,234285.0,0.2755007907221929,12.0,-234285.0,-180600.0,-53685.0,
YM_k3_close_h5_confined,YM,3,close,5,breakout,13556,11742,3431,4895,0.7156673114119922,-198675.0,-22545.0,-16.920030659172202,198790.0,0.3436382217680123,5.0,-198675.0,-130455.0,-68220.0,
YM_k3_close_h15_confined,YM,3,close,15,breakout,13556,10441,3431,4895,0.7156673114119922,-185740.0,-29125.0,-17.789483765922803,186110.0,0.34345369217507904,15.0,-185740.0,-135825.0,-49915.0,
YM_k3_close_h30_confined,YM,3,close,30,breakout,13556,9632,3431,4895,0.7156673114119922,-158280.0,-13800.0,-16.432724252491695,158280.0,0.3094892026578073,15.0,-158280.0,-130010.0,-28270.0,
YM_k5_stop_h5_confined,YM,5,stop,5,breakout,3447,1293,1004,4895,0.1592520954223082,-20795.0,-1400.0,-16.08275328692962,21680.0,0.317092034029389,5.0,-20795.0,-16045.0,-4750.0,
YM_k5_stop_h15_confined,YM,5,stop,15,breakout,3447,1265,1004,4895,0.1592520954223082,-23485.0,-4510.0,-18.565217391304348,24380.0,0.30513833992094863,13.0,-23485.0,-19305.0,-4180.0,
