date,year,world,oid,label,resolved,day_pnl,minutes_since_open,risk_points,day_range_rel
20130813,2013,take,20130813:PV2:+1:799,-3.0,True,-21.25,229.0,1.75,1.3195876288659794
20130813,2013,defer,20130813:PV2:+1:799,-3.0,True,-1.5,229.0,1.75,1.3195876288659794
20130814,2013,defer,20130814:PV2:-1:651,-4.5,True,0.0,81.0,3.25,0.8102564102564103
20130815,2013,defer,20130815:PV2:-1:606,-3.0,True,0.0,36.0,1.75,0.7589743589743589
20130819,2013,take,20130819:PV2:+1:606,-3.5,True,-19.75,36.0,2.0,1.0
20130819,2013,defer,20130819:PV2:+1:606,-3.5,True,0.0,36.0,2.0,1.0
20130829,2013,defer,20130829:PV2:+1:604,16.75,True,0.0,34.0,1.5,0.9417040358744395
20130906,2013,defer,20130906:PV2:-1:614,-3.25,True,0.0,44.0,2.25,1.6211453744493391
20130917,2013,defer,20130917:PV2:+1:625,-2.25,True,0.0,55.0,1.0,0.4595744680851064
20130926,2013,defer,20130926:PV2:+1:603,-6.25,True,0.0,33.0,4.75,0.6540284360189573
20131003,2013,take,20131003:PV2:-1:606,31.75,True,-19.75,36.0,5.5,0.9552238805970149
20131003,2013,defer,20131003:PV2:-1:606,31.75,True,0.0,36.0,5.5,0.9552238805970149
20131004,2013,defer,20131004:PV2:+1:605,0.0,True,0.0,35.0,7.0,0.719626168224299
20131009,2013,defer,20131009:PV2:-1:610,-5.75,True,0.0,40.0,4.25,0.9642857142857143
20131010,2013,defer,20131010:PV2:+1:604,-5.0,True,0.0,34.0,3.75,0.6578947368421053
20131016,2013,defer,20131016:PV2:+1:604,-2.5,True,0.0,34.0,1.0,0.5614035087719298
20131107,2013,defer,20131107:PV2:-1:605,19.25,True,0.0,35.0,4.25,0.648
20131121,2013,defer,20131121:PV2:+1:605,-3.0,True,0.0,35.0,1.75,0.49382716049382713
20131127,2013,defer,20131127:PV2:+1:604,-2.75,True,0.0,34.0,1.5,0.5185185185185185
20131129,2013,defer,20131129:PV2:+1:676,-2.25,True,0.0,106.0,1.25,0.42290748898678415
20131204,2013,defer,20131204:PV2:+1:631,-5.75,True,0.0,61.0,4.5,1.1724137931034482
20131216,2013,defer,20131216:PV2:+1:613,-2.0,True,0.0,43.0,0.75,1.0106382978723405
20131220,2013,defer,20131220:PV2:+1:606,-4.25,True,0.0,36.0,3.0,0.8114285714285714
20140102,2014,defer,20140102:PV2:-1:604,-6.5,True,0.0,34.0,5.0,0.9714285714285714
20140106,2014,defer,20140106:PV2:-1:605,-6.0,True,0.0,35.0,4.5,1.0909090909090908
20140107,2014,defer,20140107:PV2:+1:606,-3.0,True,0.0,36.0,1.75,0.8522727272727273
20140108,2014,defer,20140108:PV2:+1:629,-3.25,True,0.0,59.0,1.75,0.8359788359788359
20140109,2014,defer,20140109:PV2:-1:648,-2.75,True,0.0,78.0,1.5,1.2063492063492063
20140113,2014,take,20140113:PV2:-1:784,-3.0,True,6.0,214.0,2.0,1.1919191919191918
20140113,2014,defer,20140113:PV2:-1:784,-3.0,True,0.0,214.0,2.0,1.1919191919191918
20140114,2014,defer,20140114:PV2:+1:607,28.5,True,0.0,37.0,4.0,0.5959595959595959
20140115,2014,defer,20140115:PV2:+1:610,-3.75,True,0.0,40.0,2.75,0.660377358490566
20140123,2014,defer,20140123:PV2:-1:603,1.0,True,0.0,33.0,3.0,0.7336683417085427
