id,instrument,k,wait,horizon,stop,signals,no_entry,conflicts,unknown_outcomes,excluded_days,days,trades,total,mean_day,mean_trade,win_rate,max_drawdown,median_minutes
ES_k4_w10_h60_time,ES,4,10,60,time,1532,18,0,5,113,5002,1493,-1027.5,-0.20541783286685325,-0.6882116543871399,0.5030140656396517,27990.0,60.0
ES_k4_w10_h120_swing,ES,4,10,120,swing,1532,18,0,2,113,5002,1493,-40090.0,-8.014794082367054,-26.851975887474882,0.31815137307434693,49407.5,47.0
ES_k4_w10_h120_time,ES,4,10,120,time,1532,18,0,6,113,5002,1493,-16065.0,-3.2117153138744503,-10.760214333556597,0.49296718017414604,39332.5,120.0
ES_k4_w30_h15_swing,ES,4,30,15,swing,2258,52,0,0,113,5002,2177,-62547.5,-12.504498200719713,-28.731051906293064,0.41479099678456594,69540.0,15.0
ES_k4_w30_h15_time,ES,4,30,15,time,2258,52,0,0,113,5002,2177,-62147.5,-12.42453018792483,-28.54731281580156,0.4294901240238861,69235.0,15.0
ES_k4_w30_h30_swing,ES,4,30,30,swing,2258,52,0,0,113,5002,2177,-72110.0,-14.416233506597361,-33.12356453835554,0.4152503445107947,74265.0,30.0
ES_k4_w30_h30_time,ES,4,30,30,time,2258,52,0,1,113,5002,2177,-63585.0,-12.711915233906437,-29.207625172255398,0.45567294441892514,65275.0,30.0
ES_k4_w30_h60_swing,ES,4,30,60,swing,2258,52,0,2,113,5002,2177,-62085.0,-12.41203518592563,-28.518603582912263,0.39090491502067065,64335.0,59.0
ES_k4_w30_h60_time,ES,4,30,60,time,2258,52,0,5,113,5002,2177,-55697.5,-11.135045981607357,-25.58451998162609,0.4790996784565916,58562.5,60.0
ES_k4_w30_h120_swing,ES,4,30,120,swing,2258,52,0,3,113,5002,2177,-71047.5,-14.203818472610955,-32.63550757923748,0.3288929719797887,74080.0,59.0
ES_k4_w30_h120_time,ES,4,30,120,time,2258,52,0,8,113,5002,2177,-63760.0,-12.746901239504199,-29.28801102434543,0.47818098300413414,66630.0,120.0
ES_k4_w60_h15_swing,ES,4,60,15,swing,2641,77,0,0,113,5002,2528,-72315.0,-14.457217113154739,-28.605617088607595,0.41020569620253167,85067.5,15.0
ES_k4_w60_h15_time,ES,4,60,15,time,2641,77,0,0,113,5002,2528,-72577.5,-14.509696121551379,-28.70945411392405,0.42167721518987344,85062.5,15.0
ES_k4_w60_h30_swing,ES,4,60,30,swing,2641,77,0,0,113,5002,2528,-81965.0,-16.38644542183127,-32.42286392405063,0.4153481012658228,90597.5,30.0
ES_k4_w60_h30_time,ES,4,60,30,time,2641,77,0,0,113,5002,2528,-77015.0,-15.396841263494602,-30.46479430379747,0.44699367088607594,87560.0,30.0
ES_k4_w60_h60_swing,ES,4,60,60,swing,2641,77,0,2,113,5002,2528,-72840.0,-14.56217512994802,-28.813291139240505,0.3963607594936709,79592.5,60.0
ES_k4_w60_h60_time,ES,4,60,60,time,2641,77,0,4,113,5002,2528,-66952.5,-13.385145941623351,-26.484375,0.46954113924050633,74607.5,60.0
ES_k4_w60_h120_swing,ES,4,60,120,swing,2641,77,0,3,113,5002,2528,-96915.0,-19.375249900039982,-38.33662974683544,0.339003164556962,110417.5,69.0
ES_k4_w60_h120_time,ES,4,60,120,time,2641,77,0,7,113,5002,2528,-101615.0,-20.31487405037985,-40.195806962025316,0.464003164556962,111752.5,120.0
NQ_k2_w10_h15_swing,NQ,2,10,15,swing,4617,137,0,5,149,4966,4400,-98590.0,-19.853000402738623,-22.40681818181818,0.36,99020.0,15.0
NQ_k2_w10_h15_time,NQ,2,10,15,time,4617,137,0,6,149,4966,4400,-107700.0,-21.687474828836084,-24.477272727272727,0.44,111115.0,15.0
NQ_k2_w10_h30_swing,NQ,2,10,30,swing,4617,137,0,7,149,4966,4400,-89555.0,-18.03362867498993,-20.35340909090909,0.31431818181818183,111820.0,17.0
NQ_k2_w10_h30_time,NQ,2,10,30,time,4617,137,0,11,149,4966,4400,-123360.0,-24.840918244059605,-28.036363636363635,0.44545454545454544,127995.0,30.0
NQ_k2_w10_h60_swing,NQ,2,10,60,swing,4617,137,0,10,149,4966,4400,-122185.0,-24.604309303262184,-27.769318181818182,0.265,136505.0,17.0
NQ_k2_w10_h60_time,NQ,2,10,60,time,4617,137,0,16,149,4966,4400,-160450.0,-32.30970600080548,-36.46590909090909,0.4531818181818182,167305.0,60.0
NQ_k2_w10_h120_swing,NQ,2,10,120,swing,4617,136,0,12,149,4966,4400,-122360.0,-24.63954893274265,-27.80909090909091,0.22318181818181818,155490.0,17.0
NQ_k2_w10_h120_time,NQ,2,10,120,time,4617,136,0,22,149,4966,4400,-136050.0,-27.39629480467177,-30.920454545454547,0.46863636363636363,176035.0,120.0
NQ_k2_w30_h15_swing,NQ,2,30,15,swing,4752,161,0,5,149,4966,4507,-83465.0,-16.807289569069674,-18.518970490348348,0.3738628799644997,84105.0,15.0
NQ_k2_w30_h15_time,NQ,2,30,15,time,4752,161,0,6,149,4966,4507,-85930.0,-17.30366492146597,-19.065897492788995,0.4468604393166186,87095.0,15.0
NQ_k2_w30_h30_swing,NQ,2,30,30,swing,4752,161,0,6,149,4966,4507,-81275.0,-16.366290777285542,-18.033059684934546,0.332149988906146,100630.0,20.0
NQ_k2_w30_h30_time,NQ,2,30,30,time,4752,161,0,10,149,4966,4507,-104935.0,-21.130688683044703,-23.282671400044375,0.45107610383847346,104990.0,30.0
NQ_k2_w30_h60_swing,NQ,2,30,60,swing,4752,160,0,10,149,4966,4507,-113825.0,-22.920861860652437,-25.25515864211227,0.2844464166851564,125655.0,20.0
NQ_k2_w30_h60_time,NQ,2,30,60,time,4752,160,0,17,149,4966,4507,-167680.0,-33.765606121627066,-37.20434879076991,0.45751053916130463,170920.0,60.0
NQ_k2_w30_h120_swing,NQ,2,30,120,swing,4752,159,0,12,149,4966,4507,-114425.0,-23.041683447442608,-25.388284890170844,0.24095850898602175,138600.0,20.0
NQ_k2_w30_h120_time,NQ,2,30,120,time,4752,159,0,22,149,4966,4507,-158860.0,-31.98952879581152,-35.24739294430885,0.47148879520745507,182740.0,120.0
NQ_k2_w60_h15_swing,NQ,2,60,15,swing,4789,162,0,5,149,4966,4541,-93115.0,-18.750503423278293,-20.505395287381635,0.3732658004844748,94475.0,15.0
NQ_k2_w60_h15_time,NQ,2,60,15,time,4789,162,0,6,149,4966,4541,-98345.0,-19.80366492146597,-21.657123981501872,0.4430742127284739,100405.0,15.0
NQ_k2_w60_h30_swing,NQ,2,60,30,swing,4789,162,0,6,149,4966,4541,-90875.0,-18.299436165928313,-20.01211186963224,0.3325258753578507,116720.0,22.0
NQ_k2_w60_h30_time,NQ,2,60,30,time,4789,162,0,10,149,4966,4541,-119115.0,-23.986105517519132,-26.23100638625853,0.448139176392865,123580.0,30.0
NQ_k2_w60_h60_swing,NQ,2,60,60,swing,4789,161,0,10,149,4966,4541,-132190.0,-26.61900926298832,-29.110328121559128,0.28782206562431184,149550.0,22.0
NQ_k2_w60_h60_time,NQ,2,60,60,time,4789,161,0,17,149,4966,4541,-184385.0,-37.129480467176805,-40.604492402554506,0.4540850033032372,192000.0,60.0
NQ_k2_w60_h120_swing,NQ,2,60,120,swing,4789,160,0,14,149,4966,4541,-126990.0,-25.571888844140155,-27.965205901783747,0.24443955075974455,156970.0,22.0
NQ_k2_w60_h120_time,NQ,2,60,120,time,4789,160,0,24,149,4966,4541,-172265.0,-34.688884414015305,-37.93547676723189,0.4666373045584673,204595.0,120.0
NQ_k3_w10_h15_swing,NQ,3,10,15,swing,3938,68,0,1,149,4966,3812,-119425.0,-24.048530004027388,-31.328698845750264,0.3793284365162644,121840.0,15.0
NQ_k3_w10_h15_time,NQ,3,10,15,time,3938,68,0,2,149,4966,3812,-140350.0,-28.262182843334674,-36.81794333683106,0.4265477439664218,140540.0,15.0
NQ_k3_w10_h30_swing,NQ,3,10,30,swing,3938,68,0,3,149,4966,3812,-124000.0,-24.969794603302457,-32.528856243441766,0.35939139559286465,128510.0,27.0
NQ_k3_w10_h30_time,NQ,3,10,30,time,3938,68,0,6,149,4966,3812,-164095.0,-33.04369714055578,-43.04695697796432,0.445697796432319,164405.0,30.0
NQ_k3_w10_h60_swing,NQ,3,10,60,swing,3938,68,0,5,149,4966,3812,-129345.0,-26.04611357229158,-33.9310073452256,0.3058761804826863,144705.0,27.0
NQ_k3_w10_h60_time,NQ,3,10,60,time,3938,68,0,9,149,4966,3812,-166240.0,-33.47563431333065,-43.6096537250787,0.4475341028331584,184420.0,60.0
NQ_k3_w10_h120_swing,NQ,3,10,120,swing,3938,68,0,7,149,4966,3812,-144535.0,-29.104913411196133,-37.91579223504722,0.263903462749213,177150.0,27.0
NQ_k3_w10_h120_time,NQ,3,10,120,time,3938,68,0,17,149,4966,3812,-170365.0,-34.30628272251309,-44.691762854144805,0.4685204616998951,203425.0,120.0
NQ_k3_w30_h15_swing,NQ,3,30,15,swing,4455,106,0,1,149,4966,4281,-113090.0,-22.772855416834474,-26.416725064237326,0.3982714319084326,120280.0,15.0
NQ_k3_w30_h15_time,NQ,3,30,15,time,4455,106,0,2,149,4966,4281,-125930.0,-25.35843737414418,-29.416024293389395,0.43751459939266524,126405.0,15.0
NQ_k3_w30_h30_swing,NQ,3,30,30,swing,4455,106,0,2,149,4966,4281,-116205.0,-23.40012082158679,-27.14435879467414,0.38285447325391264,117405.0,30.0
NQ_k3_w30_h30_time,NQ,3,30,30,time,4455,106,0,5,149,4966,4281,-164520.0,-33.129279097865485,-38.430273300630695,0.4515300163513198,164900.0,30.0
